checked_at,source,url,key,posted_comment_count,current_comment_count,delta,status,title,note
2026-06-28T16:53:08+09:00,note_comment_ottogi_mill,https://note.com/kohanaatkitchen/n/n6c024194cdfa,n6c024194cdfa,1,1,0,no_new_comment,【調味料の話】加熱せずに食べたい”ちょっといい”ごま油 | 韓国,no count increase after our posted comment
2026-06-28T16:53:08+09:00,note_comment_shinokubo_namul,https://note.com/kikosugar_/n/ne6bf02bdc64b,ne6bf02bdc64b,2,2,0,no_new_comment,新大久保のソウル市場で買える、魔法の赤い粉で作るもやしナムル #おつまみレシピ,no count increase after our posted comment
